,HYG,SPY,TLT,^VIX,IG_Spread
2022-08-04,63.867652893066406,394.68609619140625,104.4493408203125,21.440000534057617,4.55
2022-08-05,63.54197692871094,394.01910400390625,101.96309661865234,21.149999618530273,4.44
2022-08-08,63.598960876464844,393.5615539550781,103.60894012451172,21.290000915527344,4.41
2022-08-09,63.126712799072266,391.998779296875,103.20623779296875,21.770000457763672,4.46
2022-08-10,64.07122039794922,400.23236083984375,102.53213500976562,19.739999771118164,4.33
2022-08-11,63.70481872558594,400.23236083984375,100.1421890258789,20.200000762939453,4.21
2022-08-12,64.2747802734375,407.0078430175781,101.15767669677734,19.530000686645508,4.25
2022-08-15,64.16077423095703,408.6849670410156,101.07012939453125,19.950000762939453,4.24
2022-08-16,63.8595085144043,409.48553466796875,101.49037170410156,19.690000534057617,4.25
2022-08-17,63.19999694824219,406.5790100097656,100.43106842041016,19.899999618530273,4.33
2022-08-18,63.29768371582031,407.7606506347656,100.57988739013672,19.559999465942383,4.37
2022-08-19,62.65446472167969,402.2811584472656,98.96031951904297,20.600000381469727,4.45
2022-08-22,61.94607162475586,393.9046936035156,98.62764739990234,23.799999237060547,4.62
2022-08-23,62.100799560546875,392.9516906738281,98.08484649658203,24.110000610351562,4.68
2022-08-24,62.174068450927734,394.20965576171875,97.36701202392578,22.81999969482422,4.61
2022-08-25,62.76030731201172,399.7748718261719,98.72393798828125,21.780000686645508,4.6
2022-08-26,61.72625732421875,386.2429504394531,99.46807098388672,25.559999465942383,4.65
2022-08-29,61.490108489990234,383.68896484375,98.6451416015625,26.209999084472656,4.78
2022-08-30,61.017860412597656,379.4769287109375,98.89029693603516,26.209999084472656,4.9
2022-08-31,60.68405532836914,376.58941650390625,97.94476318359375,25.8700008392334,5.03
2022-09-01,60.84441375732422,377.77117919921875,96.151611328125,25.559999465942383,5.08
2022-09-02,60.80352020263672,373.7877502441406,96.69551849365234,25.469999313354492,5.06
2022-09-05,,,,,5.07
2022-09-06,60.639854431152344,372.37744140625,94.30052185058594,26.90999984741211,4.98
2022-09-07,61.515377044677734,379.0671081542969,95.79192352294922,24.639999389648438,4.97
2022-09-08,61.78538131713867,381.5448913574219,94.80935668945312,23.610000610351562,4.8
2022-09-09,62.03086471557617,387.47222900390625,95.0198974609375,22.790000915527344,4.57
2022-09-12,62.21903991699219,391.63665771484375,94.2391128540039,23.8700008392334,4.5
2022-09-13,60.80352020263672,374.6072998046875,94.45842742919922,27.270000457763672,4.68
2022-09-14,60.89352035522461,376.0367431640625,94.78304290771484,26.15999984741211,4.74
2022-09-15,60.50893020629883,371.76751708984375,94.72162628173828,26.270000457763672,4.77
2022-09-16,60.7134895324707,368.93133544921875,93.93203735351562,26.299999237060547,5.0
